url,title,genres,description
https://www.filmweb.pl/film/Mi%C5%82o%C5%9B%C4%87+i+inne+u%C5%BCywki-2010-531962,Miłość i inne używki,Dramat;Komedia;Romans,"Przedstawiciel farmaceutyczny (Jake Gyllenhaal) sprzedaje viagrę, starając się utrzymać na powierzchni rynku farmaceutycznego. Umawia się z młoda kobietą (Anne Hathaway), która choruje na Parkinsona. Zaczyna się rodzić między nimi uczucie."
https://www.filmweb.pl/film/P%C3%B3%C5%82+%C5%BCartem%2C+p%C3%B3%C5%82+serio-1959-30671,"Pół żartem, pół serio",Komedia,"Bezrobotni muzycy Jerry (Tony Curtis) i Joe (Jack Lemmon) są przypadkowymi świadkami masakry w Dniu Świętego Walentego. Gangsterzy dołożą zapewne wszelkich starań, aby ich zlikwidować. Jedynym ratunkiem jest ucieczka i zmiana powierzchowności. Jerry i Joe przebierają się za kobiety i jako Daphne i Josephine zatrudniają się w damskim zespole jazzowym, który wyrusza na tournee do Miami. Nie wiedzą, że tam właśnie odbywa się spotkanie gangsterów."
https://www.filmweb.pl/film/Bez+mojej+zgody-2009-463328,Bez mojej zgody,Dramat obyczajowy,"Sara i Brian wiodą spokojne życie. Idylla zostaje jednak przerwana, gdy dociera do nich przerażająca informacja o chorobie córki. Aby ratować życie dziecka, para podejmuje trudną decyzję, która na zawsze zmieni ich życie. Dylematy etyczno-moralne zmieniają ich relacje. Prawdziwy koszmar zaczyna się jednak, kiedy ich druga córka odkrywa prawdę dotyczącą jej poczęcia."
https://www.filmweb.pl/film/Chappie-2015-612189,Chappie,Akcja;Sci-Fi,"W dzisiejszych czasach roboty do zadań specjalnych stają się codziennością. W brutalnym świecie Johannesburga policja i wojsko używają ich do tłumienia zamieszek i walki z gangsterami. Chappie jest jednym z robotów nowej generacji, które myślą i czują. Niewiele różni się od nas, ludzi. Jest jak dziecko i tak jak ono poznaje świat oczyma opiekunów. Kiedy Chappie dostaje się w ręce gangsterów, ci resetują jego dotychczasową wiedzę i uczą wszystkiego od nowa, tak by pracował dla nich. Poczciwy, budzący sympatię robot, nie do końca świadomy wyrządzania zła, uczestniczy w brutalnych napadach rabunkowych i życiu przestępczego półświatka."
https://www.filmweb.pl/film/Uwierz+w+ducha-1990-1258,Uwierz w ducha,Fantasy;Dramat;Komedia;Romans,"Sam (Patrick Swayze) i Molly (Demi Moore) są szczęśliwą, kochającą się parą. Pewnego wieczoru, w drodze powrotnej z teatru, zostają napadnięci i Sam ginie w walce. Zostaje uwięziony w postaci ducha do czasu, aż wyjaśni się, że jego śmierć nie była przypadkiem. Stara się ostrzec Molly przed grożącym jej niebezpieczeństwem, ale jak się okazuje, nie jest to takie łatwe dla ducha..."
https://www.filmweb.pl/film/Kr%C3%B3lewna+%C5%9Anie%C5%BCka+i+%C5%81owca-2012-600541,Królewna Śnieżka i Łowca,Fantasy;Przygodowy,"Dawno, dawno temu, w odległej krainie żyła zła królowa, która poleciła swemu myśliwemu zgładzić jedyną niewiastę piękniejszą od niej samej. Nie spodziewała się jednak, że podwładny sprzeciwi się jej rozkazom i zamiast zabić Królewnę Śnieżkę… nauczy ją sztuki wojny. Niezwykłe nowe wcielenie legendarnej baśni autorstwa Joe Rotha. Jedna z najbardziej oczekiwanych premier roku."
https://www.filmweb.pl/film/Nice+Guys.+R%C3%B3wni+go%C5%9Bcie-2016-720886,Nice Guys. Równi goście,Komedia kryminalna,"Prywatny detektyw Holland March (Ryan Gosling) i gruboskórny mięśniak do wynajęcia Jackson Healy (Russell Crowe) nie pałają do siebie sympatią. Zostają jednak wynajęci do rozwikłania tej samej sprawy zaginionej dziewczyny. Zapewne każdy prowadziłby ją na własną rękę, gdyby obaj nie stali się celem wynajętych morderców. Niechętnie muszą połączyć siły, by rozwiązać sprawę i ocalić życie. Tym bardziej, że wkrótce odkryją, że wdepnęli w większe bagno niż sądzili. Zaginięcie dziewczyny jest jedynie czubkiem góry lodowej w sprawie, której nie tknąłby nikt komu życie miłe. Historia staje się więc coraz bardziej dramatyczna, ale mimo zagrożenia Holland i Jackson skupiają się głównie na dogryzaniu sobie nawzajem."
https://www.filmweb.pl/film/Saga+%22Zmierzch%22%3A+Ksi%C4%99%C5%BCyc+w+nowiu-2009-491960,"Saga ""Zmierzch"": Księżyc w nowiu",Horror;Romans,"Ekranizacja drugiej części bestsellerowego cyklu ""Zmierzch"" autorstwa amerykańskiej pisarki Stephenie Meyer. ""Księżyc w Nowiu"" opowiada dalsze dzieje trudnej miłości dziewczyny - Belli Swan (Kristen Stewart) i wampira - Edwarda Cullena (Robert Pattinson). Edward i Bella są ze sobą i jest im razem cudownie. Niestety nieszczęśliwy wypadek na imprezie urodzinowej Belli sprawia, że Edward podejmuje decyzję, która skrzywdzi oboje... Edward odchodzi. Zostawia Bellę przekonując ją, że już jej nie kocha. Mimo, że dziewczyna nie potrafi się z tym pogodzić, nic nie może zrobić. Ogromne cierpienie ""wyłącza"" Bellę z życia na parę miesięcy. Wtedy znów pojawia się jej przyjaciel z dzieciństwa - Jacob Black (Taylor Lautner). Choć nic nie jest w stanie zastąpić jej ukochanego Edwarda, Bella dostrzega, że towarzystwo Jacoba bardzo jej pomaga... Wtedy spada na nią kolejna bomba. Jacob okazuje się... wilkołakiem. I ją kocha. Lecz nie on jeden... Bella stanie przed kolejnym ważnym wyborem w swoim życiu. Tym razem będzie wybierała pomiędzy zakochanym wampirem i zakochanym wilkołakiem. Dla którego z nich Bella będzie w stanie poświęcić wszystko? Kogo kocha Bella...?"
https://www.filmweb.pl/film/127+godzin-2010-546975,127 godzin,Dramat,"Najnowszy film Danny'ego Boyle'a, wyróżnionego Oscarem za ""Slumdog. Milioner z ulicy"", to ekranizacja książki Arona Ralstona. Dramatyczne przeżycia młodego alpinisty, który podczas samotnej wędrówki zostaje uwięziony w rozpadlinie skalnej w niedostępnych górach Utah i jest zmuszony do desperackiej walki o przetrwanie"
https://www.filmweb.pl/film/Nietykalni-1987-1036,Nietykalni,Gangsterski,"Stany Zjednoczone po wprowadzeniu prohibicji przeżywają problemy z narastającą przemocą oraz tworzeniem się zorganizowanych grup czerpiących zyski z nielegalnej sprzedaży alkoholu. Prym w tym procederze wiedzie chicagowski gangster - Al Capone (Robert De Niro). Wszelkie próby walki, aresztowania kończą się zawsze zwolnieniem Capone i jego ludzi. FBI postanawia stworzyć specjalny oddział do walki z mafią, na czele którego staje Eliot Ness (Kevin Costner)."
