url,title,genres,description
https://www.filmweb.pl/film/Astro+Boy-2009-143626,Astro Boy,Animacja;Akcja;Sci-Fi,"Kiedy umiera syn pewnego naukowca, ten w sekrecie tworzy potężnego robota, który ma mu zastąpić utracone dziecko. Robot wykorzystuje swe nadludzkie umiejętności aby stać się suberbohaterem. Największe wyzwania czeka go kiedy obca rasa przybędzie na naszą planetę."
https://www.filmweb.pl/film/Szybciej%2C+koteczku+Zabij+Zabij-1965-127826,"Szybciej, koteczku! Zabij! Zabij!",Dramat;Komedia;Akcja,"Trzy tancerki z baru go-go wolny czas spędzają jeżdżąc po pustyni, lejąc kogo popadnie, prężąc się seksownie i wypowiadając niedorzeczne teksty. Jedna z dziewcząt, Varla, gołymi rękami morduje nieznajomego chłopaka na oczach jego dziewczyny, której trzeba się będzie teraz jakoś pozbyć."
https://www.filmweb.pl/film/Alex+i+Emma-2003-100030,Alex i Emma,Dramat;Komedia;Romans,"Romantyczna komedia o pisarzu o imieniu Alex, który ma kłopoty z gangsterami. Zapowiedzieli oni, że zabiją go za 30 dni, jeżeli nie spłaci do tego czasu swoich długów. Jednym sposobem na zdobycie pieniędzy jest ukończenie powieści. Aby tego dokonać, w wyznaczonym czasie, zatrudnia stenografistkę Emme..."
https://www.filmweb.pl/film/Dzie%C5%84+Matki-2023-10011888,Dzień Matki,Thriller;Akcja,"Nina, żyjąca w ukryciu była agentka NATO do zadań specjalnych, musi wykorzystać wszystkie swoje śmiercionośne umiejętności, aby uratować syna porwanego przez bezwzględnych gangsterów. Odnalezienie Maksa to dla niej podwójna szansa. Szansa na ponowne poczucie adrenaliny oraz możliwość powrotu do życia syna, którego musiała przed laty porzucić. ""Dzień Matki"" to przewrotny film akcji, w którym główna bohaterka pokonuje demony przeszłości najczęściej przy pomocy własnych pięści. To brutalna i emocjonalna historia o najsilniejszym rodzaju uczucia - miłości matki do dziecka."
https://www.filmweb.pl/film/Kane+%26+Lynch-2026-433989,Kane & Lynch,Akcja,
https://www.filmweb.pl/film/W+pogoni+za+zbrodniarzem-2007-230036,W pogoni za zbrodniarzem,Dramat;Komedia;Thriller,"Film inspirowany autentycznymi wydarzeniami opisanymi w artykule magazynu ""Esquire"" zatytułowanym ""What I did on my summer vacation"" autorstwa Scotta Andersona dotyczącym pogoni za Ratko Mladiciem. Młody dziennikarz Benjamin (Jesse Eisenberg), operator filmowy Duck (Terrence Howard) oraz Simon (Richard Gere) wyruszają w rejon granicy Bośni i Czarnogóry, aby tam nakręcić reportaż o wrogu publicznym nr 1. To co miało okazać się reportażem oraz wspaniałą przygodą szybko zmienia się w niebezpieczną grę, w której stawką jest życie trójki dziennikarzy. Omyłkowo wzięci zostają za agentów CIA, a cel, o którym kręcili dokument podąża ich śladem."
https://www.filmweb.pl/film/Nie%C5%9Bmiertelny-2019-830462,Nieśmiertelny,Kryminał;Dramat,"Ciro postrzelony przez swojego jedynego przyjaciela Gennaro Savastano zostaje wyrzucony do ciemnych wód Zatoki Neapolitańskiej. Im bliżej dna tym więcej wspomnień przelatuje mu przed oczami. Nieśmiertelnemu jednak znów udaje się przeżyć…   Historia dziejąca się pomiędzy Neapolem w latach 1980 a Rygą dzisiaj jest dialogiem pomiędzy przeszłością Ciro, jako sieroty i dzisiaj jako wygnańcem. To wszystko tysiące kilometrów od domu. Od wrzących z gorąca ulic Neapolu do zimnego lata na północy Europy, od małych kradzieży po działania wojenne: Ciro musi sprostać wszystkiemu co stanie na jego drodze. W świecie gdzie nieśmiertelność stała się formą potępienia."
https://www.filmweb.pl/film/Boso+w+parku-1967-4055,Boso w parku,Komedia,"Neil Simon, mistrz komedii z Brodwayu, przekształca sztukę teatralną o młodym, konserwatywnym prawniku i jego nietuzinkowej narzeczonej w klasyczną komedię romantyczną. Robert Redford gra Pana Poważnego, a Jane Fonda jego młoda żonę, która ponad wszystko przedkłada dobra zabawą. Kiedy uniesienia miodowego miesiąca ustępują codziennej rutynie, a ona przeobraża się w kurę domową pilnującą małego mieszkania na piątym piętrze (bez windy), małżeńska harmonia zmienia się w tragikomiczną huśtawkę niespełnionych marzeń. Do tego dochodzi narzekająca teściowa i filtrujący z nią starszy sąsiad. Czy młodzi mają szansę na happy end?"
https://www.filmweb.pl/film/Ca%C5%82y+on-2021-874555,Cały on,Komedia rom.,"Nowa wersja historii znanej z klasycznej produkcji dla młodzieży ""Cała ona"" z 1999 roku. Bohaterką współczesnej opowieści jest influencerka (Addison Rae), która podejmuje się niełatwego zadania — ma zmienić największego nieudacznika w szkole (Tanner Buchanan) w króla balu maturalnego."
https://www.filmweb.pl/film/Kolorowe+ptaki-2010-539342,Kolorowe ptaki,Dramat,"Film oparty jest na sztuce teatralnej Ntozake Shange. Składa się z 20 wątków, przedstawiających historie różnych kobiet. Każda z historii przedstawia odmienny problem z jakim zmagają się kolorowe kobiety w dzisiejszym świecie."
